food,food_id,category,stated_prabhava,rasa,guna,virya,vipaka,dosha_effect,source,prabhava_ok,should_be,vaidya_notes
Nimbu Jala (Lemon Water),lemon_water,beverage,"Kapha-hara despite amla rasa, which raises Kapha by rule. Nimbu's laghu-ruksha guna and its deepana-lekhana action govern — the reason warm lemon water is the classical morning drink for Ama and not a Kapha-aggravating one.",sour,laghu; ruksha,heating,sour,V-1 P+1 K-1,bhavaprakasha,,,
Shunthi Kwatha (Ginger Tea),ginger_tea,beverage,"Made from Shunthi, and carries its exception: madhura vipaka despite katu rasa, and vata-hara where the rasa alone would raise Vata.",pungent,laghu; snigdha,heating,sweet,V-2 P+1 K-2,bhavaprakasha,,,
Tulsi Tea,tulsi_tea,beverage,"Hridya and Rasayana — Tulsi's specific action carries it past what its katu-tikta rasa alone would do, which is why it is given as a daily drink and Maricha is not.",pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,bhavaprakasha,,,
Godugdha (Cow's Milk),milk_full_fat,dairy,Ojas-vardhaka and Rasayana — the action that makes milk a therapy rather than a food (Charaka Sutrasthana 27).,sweet,guru; snigdha; manda; picchila,cooling,sweet,V-2 P-2 K+2,bhavaprakasha,,,
Goghrita (Cow's Ghee),ghee,dairy,Agni-deepana while being snigdha and guru — the classical exception that makes Ghrita the one fat given to a weak Agni rather than withheld from it (Charaka Sutrasthana 13). Ojas-vardhaka.,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,bhavaprakasha,,,
Lassi (Sweetened Takra),lassi,dairy,"Sweetening and thickening reverse Takra's action: sweet Lassi is guru and Kapha-vardhaka where the Takra it is made from is laghu and Kapha-hara. The preparation, not the milk, decides.",sweet; sour,guru; snigdha,cooling,sweet,V-1 P-1 K+2,bhavaprakasha,,,
Mastu (Whey),whey,dairy,"Srotoshodhaka — it clears the channels, which is why the watery part of curd is given where curd itself blocks them.",sour; astringent,laghu; ruksha,heating,sour,V-1 P+0 K-1,bhavaprakasha,,,
Navanita (Fresh Butter),butter,dairy,"Fresh Navanita is deepana and grahi where aged butter is neither — the classical distinction, and why it is given in Arsha and Grahani.",sweet; astringent,guru; snigdha; mridu,cooling,sweet,V-2 P-1 K+1,bhavaprakasha,,,
Takra (Buttermilk),buttermilk_chaas,dairy,"Grahi and deepana — the classical Grahani medicine, and the reason Takra is prescribed where Dadhi, made from the same milk, is withheld (Charaka Chikitsa 15).",sour; astringent,laghu; ruksha,heating,sour,V-1 P+0 K-1,bhavaprakasha,,,
Amalaki (Amla),amla,fruit,Amla rasa with shita virya and madhura vipaka — the combination is unique to Amalaki and is why the one sour fruit in the pharmacopoeia is given freely in Pitta. Rasayana and tridoshaghna.,sour; astringent; sweet,laghu; ruksha,cooling,sweet,V-1 P-2 K-1,bhavaprakasha,,,
Amra (Mango),mango,fruit,"Ripe Amra is Vrishya and Balya, and ushna despite a purely madhura rasa — the reason it is a summer fruit that nonetheless aggravates Pitta in quantity.",sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,bhavaprakasha,,,
Dadima (Pomegranate),pomegranate,fruit,"Tridoshaghna and Hridya — the sweet Dadima is one of the few fruits the texts give to all three Doshas, and the one prescribed in Grahani and in convalescence.",sweet; sour; astringent,laghu; snigdha,cooling,sweet,V-1 P-1 K-1,bhavaprakasha,,,
Draksha (Grapes),grapes,fruit,"Phalottama — the texts call Draksha the best of fruits and give it in all three Doshas, which no other madhura, guru fruit here earns.",sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,bhavaprakasha,,,
Eranda-karkati (Papaya),papaya,fruit,Deepana and Bhedana — the digestive and purgative action that makes papaya a medicine for a sluggish gut and a uterine stimulant in pregnancy. Both come from the same Prabhava.,sweet,guru; tikshna,heating,pungent,V-1 P+1 K-1,bhavaprakasha,,,
Jambu (Jamun),jamun,fruit,"The classical Prameha fruit — Jambu's Kapha-Meda reducing action is the one the texts single it out for, and the seed is used where the fruit is not.",astringent; sour; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-2,bhavaprakasha,,,
Kadali (Banana),banana,fruit,"Amla vipaka against a madhura-kashaya rasa — the classical exception for Kadali, and the reason banana with milk is named Viruddha.",sweet; astringent,guru; snigdha; picchila,cooling,sour,V-1 P+0 K+2,bhavaprakasha,,,
Kalinga (Watermelon),watermelon,fruit,"Mutrala — the diuretic action is why Kalinga is given in Grishma and in urinary heat, and why it is not simply a heavy sweet fruit.",sweet,guru; snigdha; drava,cooling,sweet,V+1 P-2 K+1,bhavaprakasha,,,
