therapy_id,therapy_name,phase,karma_claimed,karma_excluded,stated_basis,claim_ok (Y/N),should_be,vaidya_notes
abhyanga_self,Self-Abhyanga (Warm Oil Massage),purvakarma,vamana; virechana; basti; basti_matra; nasya; raktamokshana,,"Bahya Snehana. External oleation opens every Purvakarma (CS Sutrasthana 13, AH Sutrasthana 2), and Sushruta prescribes Snehana then Swedana of the part before Siravyadha (SS Sharirasthana 8) — so it belongs to all six routes, including the two that take no internal oleation.",,,
abhyanga_clinic,Clinical Abhyanga (2-Therapist Sync),purvakarma,vamana; virechana; basti; basti_matra; nasya; raktamokshana,,"Bahya Snehana. External oleation opens every Purvakarma (CS Sutrasthana 13, AH Sutrasthana 2), and Sushruta prescribes Snehana then Swedana of the part before Siravyadha (SS Sharirasthana 8) — so it belongs to all six routes, including the two that take no internal oleation.",,,
swedana_home,Home Steam Therapy (Swedana),purvakarma,vamana; virechana; basti; basti_matra; nasya; raktamokshana,,"Swedana follows Snehana in every Purvakarma and is what opens the Srotas the oil has loosened (CS Sutrasthana 14). Basti is preceded by local abdominal and lumbar Swedana, Nasya by Nadi Sweda of the face and neck, Siravyadha by Swedana of the part (SS Sharirasthana 8) — all six routes.",,,
bashpa_sweda_clinic,Clinical Herbal Steam (Bashpa Sweda),purvakarma,vamana; virechana; basti; basti_matra; nasya; raktamokshana,,"Swedana follows Snehana in every Purvakarma and is what opens the Srotas the oil has loosened (CS Sutrasthana 14). Basti is preceded by local abdominal and lumbar Swedana, Nasya by Nadi Sweda of the face and neck, Siravyadha by Swedana of the part (SS Sharirasthana 8) — all six routes.",,,
snehapana_home,Mild Internal Oleation (Ghee Intake),purvakarma,vamana; virechana,basti; basti_matra; nasya; raktamokshana,"Abhyantara Snehana titrated to Samyak Snigdha is the mandatory Purvakarma of Vamana and Virechana (CS Sutrasthana 13, CS Kalpasthana 1). It is deliberately NOT tagged to the other four: Basti's own Purvakarma is Abhyanga plus Swedana and its internal oleation is delivered as Anuvasana rather than as Snehapana, while Nasya and Raktamokshana take no internal oleation at all.",,,
snehapana_clinic,Intensive Internal Oleation,purvakarma,vamana; virechana,basti; basti_matra; nasya; raktamokshana,"Abhyantara Snehana titrated to Samyak Snigdha is the mandatory Purvakarma of Vamana and Virechana (CS Sutrasthana 13, CS Kalpasthana 1). It is deliberately NOT tagged to the other four: Basti's own Purvakarma is Abhyanga plus Swedana and its internal oleation is delivered as Anuvasana rather than as Snehapana, while Nasya and Raktamokshana take no internal oleation at all.",,,
shirodhara,Shirodhara (Warm Oil on Forehead),purvakarma,nasya,vamana; virechana; basti; basti_matra; raktamokshana,"Murdha Taila — oleation of the head (AH Sutrasthana 22). As the preparation of a Karma's own course it belongs to the Urdhvanga route, which is Nasya. It remains schedulable in every other plan as a goal-weighted adjunct; this tag says which course it is part of, not where it is allowed.",,,
udvartana,Udvartana (Dry Herbal Powder Massage),purvakarma,vamana,virechana; basti; basti_matra; nasya; raktamokshana,"Udvartana is Rukshana — dry, Kapha-hara, Medohara (AH Sutrasthana 2). The Kapha-directed course is Vamana. It is not tagged to the oleation-led routes because Ruksha therapy works against the Snigdha state they are prepared into.",,,
udvartana_home,Dry Brushing (Garshana),purvakarma,vamana,virechana; basti; basti_matra; nasya; raktamokshana,"Udvartana is Rukshana — dry, Kapha-hara, Medohara (AH Sutrasthana 2). The Kapha-directed course is Vamana. It is not tagged to the oleation-led routes because Ruksha therapy works against the Snigdha state they are prepared into.",,,
samsarjana_krama_strict,Strict Samsarjana Krama (Dietary Re-entry),paschat,vamana; virechana; basti; basti_matra,nasya; raktamokshana,Samsarjana Krama is the graded dietary re-entry from a Koshtha emptied by Shodhana (CS Sutrasthana 15). Nasya and Raktamokshana empty no Koshtha and take none — the same line `_samsarjana_krama` in the engine already draws.,,,
samsarjana_krama_mild,Mild Kitchari Mono-diet,paschat,vamana; virechana; basti; basti_matra,nasya; raktamokshana,Samsarjana Krama is the graded dietary re-entry from a Koshtha emptied by Shodhana (CS Sutrasthana 15). Nasya and Raktamokshana empty no Koshtha and take none — the same line `_samsarjana_krama` in the engine already draws.,,,
rasayana_herbs,Rasayana Herb Integration,paschat,vamana; virechana; basti; basti_matra; nasya; raktamokshana,,"Rasayana follows every completed Shodhana, whichever Karma was performed (CS Chikitsasthana 1.1) — the emptied and rekindled body is the field Rasayana is given into.",,,
yoga_nidra,Yoga Nidra (Deep Relaxation),paschat,vamana; virechana; basti; basti_matra; nasya; raktamokshana,,"Paschat Karma rest. CS Sutrasthana 15 closes every Shodhana with Ashwasana — rest, no exertion, no suppression of natural urges — regardless of route, so this belongs to all six.",,,
gentle_pranayama,Rejuvenative Pranayama (Anulom Vilom),paschat,vamana; virechana; basti; basti_matra; nasya; raktamokshana,,"Paschat Karma rest. CS Sutrasthana 15 closes every Shodhana with Ashwasana — rest, no exertion, no suppression of natural urges — regardless of route, so this belongs to all six.",,,
