food,food_id,category,prep_state,rasa,guna,virya,vipaka,dosha_effect,prabhava,season_suitable,source,varga_or_reasoning,kcal_per_100g,nutrition_source,rasa_ok,guna_ok,virya_ok,vipaka_ok,dosha_ok,ritu_ok,vaidya_notes
Green Tea,green_tea,beverage,prepared,astringent; bitter,laghu; ruksha,heating,pungent,V+1 P+0 K-2,,vasanta; grishma; sharad,modern_extrapolated,"No classical entry for the prepared infusion. Reasoned from Kashaya Kalpana — a kashaya-tikta decoction, laghu and ruksha, Kapha-hara and Vata-vardhaka on repetition. Extrapolated, not cited.",1.0,usda,,,,,,,
Narikela Jala (Tender Coconut Water),coconut_water,beverage,prepared,sweet,laghu; snigdha,cooling,sweet,V-1 P-2 K+0,,grishma; sharad,bhavaprakasha,Amradi Phala,19.0,usda,,,,,,,
Nimbu Jala (Lemon Water),lemon_water,beverage,prepared,sour,laghu; ruksha,heating,sour,V-1 P+1 K-1,"Kapha-hara despite amla rasa, which raises Kapha by rule. Nimbu's laghu-ruksha guna and its deepana-lekhana action govern — the reason warm lemon water is the classical morning drink for Ama and not a Kapha-aggravating one.",shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Amradi Phala,6.0,usda,,,,,,,
Shunthi Kwatha (Ginger Tea),ginger_tea,beverage,prepared,pungent,laghu; snigdha,heating,sweet,V-2 P+1 K-2,"Made from Shunthi, and carries its exception: madhura vipaka despite katu rasa, and vata-hara where the rasa alone would raise Vata.",shishira; hemanta; varsha,bhavaprakasha,Haritakyadi,3.0,authored_estimate,,,,,,,
Tulsi Tea,tulsi_tea,beverage,prepared,pungent; bitter,laghu; ruksha; tikshna,heating,pungent,V-1 P+1 K-2,"Hridya and Rasayana — Tulsi's specific action carries it past what its katu-tikta rasa alone would do, which is why it is given as a daily drink and Maricha is not.",shishira; hemanta; varsha; vasanta,bhavaprakasha,Pushpa,1.0,authored_estimate,,,,,,,
Cottage Cheese,cottage_cheese,dairy,prepared,sweet; sour,guru; snigdha,cooling,sweet,V-1 P+0 K+2,,shishira; hemanta; vasanta,modern_extrapolated,"No classical entry. Reasoned from Kilata (curdled milk solids), with an amla anurasa the acid-set curdling adds and less guru than paneer for its lower fat. Extrapolated, not cited.",98.0,usda,,,,,,,
Dadhi (Curd),curd_yogurt,dairy,prepared,sour; sweet,guru; snigdha; picchila,heating,sour,V-1 P+2 K+2,,shishira; hemanta,bhavaprakasha,Dugdha,61.0,usda,,,,,,,
Godugdha (Cow's Milk),milk_full_fat,dairy,prepared,sweet,guru; snigdha; manda; picchila,cooling,sweet,V-2 P-2 K+2,Ojas-vardhaka and Rasayana — the action that makes milk a therapy rather than a food (Charaka Sutrasthana 27).,shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Dugdha,61.0,usda,,,,,,,
Goghrita (Cow's Ghee),ghee,dairy,prepared,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,Agni-deepana while being snigdha and guru — the classical exception that makes Ghrita the one fat given to a weak Agni rather than withheld from it (Charaka Sutrasthana 13). Ojas-vardhaka.,shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Dugdha,900.0,usda,,,,,,,
Kilata (Paneer),paneer,dairy,prepared,sweet,guru; snigdha; picchila,cooling,sweet,V-1 P-1 K+2,,shishira; hemanta; vasanta,bhavaprakasha,Dugdha,265.0,usda,,,,,,,
Lassi (Sweetened Takra),lassi,dairy,prepared,sweet; sour,guru; snigdha,cooling,sweet,V-1 P-1 K+2,"Sweetening and thickening reverse Takra's action: sweet Lassi is guru and Kapha-vardhaka where the Takra it is made from is laghu and Kapha-hara. The preparation, not the milk, decides.",grishma; sharad,bhavaprakasha,Dugdha,110.0,authored_estimate,,,,,,,
Mastu (Whey),whey,dairy,prepared,sour; astringent,laghu; ruksha,heating,sour,V-1 P+0 K-1,"Srotoshodhaka — it clears the channels, which is why the watery part of curd is given where curd itself blocks them.",shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Dugdha,27.0,usda,,,,,,,
Navanita (Fresh Butter),butter,dairy,prepared,sweet; astringent,guru; snigdha; mridu,cooling,sweet,V-2 P-1 K+1,"Fresh Navanita is deepana and grahi where aged butter is neither — the classical distinction, and why it is given in Arsha and Grahani.",shishira; hemanta,bhavaprakasha,Dugdha,717.0,usda,,,,,,,
Santanika (Cream),cream,dairy,prepared,sweet,guru; snigdha; picchila,cooling,sweet,V-2 P-1 K+2,,shishira; hemanta,bhavaprakasha,Dugdha,340.0,usda,,,,,,,
Takra (Buttermilk),buttermilk_chaas,dairy,prepared,sour; astringent,laghu; ruksha,heating,sour,V-1 P+0 K-1,"Grahi and deepana — the classical Grahani medicine, and the reason Takra is prescribed where Dadhi, made from the same milk, is withheld (Charaka Chikitsa 15).",shishira; vasanta; grishma; varsha; sharad; hemanta,bhavaprakasha,Dugdha,40.0,usda,,,,,,,
Amalaki (Amla),amla,fruit,ripe,sour; astringent; sweet,laghu; ruksha,cooling,sweet,V-1 P-2 K-1,Amla rasa with shita virya and madhura vipaka — the combination is unique to Amalaki and is why the one sour fruit in the pharmacopoeia is given freely in Pitta. Rasayana and tridoshaghna.,sharad; hemanta; shishira,bhavaprakasha,Amradi Phala,44.0,usda,,,,,,,
Amra (Mango),mango,fruit,ripe,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,"Ripe Amra is Vrishya and Balya, and ushna despite a purely madhura rasa — the reason it is a summer fruit that nonetheless aggravates Pitta in quantity.",grishma,bhavaprakasha,Amradi Phala,60.0,usda,,,,,,,
Anjeera (Figs),figs,fruit,ripe,sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+1,,varsha; sharad,bhavaprakasha,Amradi Phala,74.0,usda,,,,,,,
Chikoo (Sapota),chikoo_sapota,fruit,ripe,sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+2,,grishma; varsha,modern_extrapolated,"No nighantu entry — sapota reaches India from the New World in the colonial period. Reasoned from the Amradi Phala Varga as a madhura, guru, shita fruit, nearest to Kharjura in guna. Extrapolated, not cited.",83.0,usda,,,,,,,
Dadima (Pomegranate),pomegranate,fruit,ripe,sweet; sour; astringent,laghu; snigdha,cooling,sweet,V-1 P-1 K-1,"Tridoshaghna and Hridya — the sweet Dadima is one of the few fruits the texts give to all three Doshas, and the one prescribed in Grahani and in convalescence.",sharad; hemanta,bhavaprakasha,Amradi Phala,83.0,usda,,,,,,,
Draksha (Grapes),grapes,fruit,ripe,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+1,"Phalottama — the texts call Draksha the best of fruits and give it in all three Doshas, which no other madhura, guru fruit here earns.",sharad; hemanta,bhavaprakasha,Amradi Phala,69.0,usda,,,,,,,
Eranda-karkati (Papaya),papaya,fruit,ripe,sweet,guru; tikshna,heating,pungent,V-1 P+1 K-1,Deepana and Bhedana — the digestive and purgative action that makes papaya a medicine for a sluggish gut and a uterine stimulant in pregnancy. Both come from the same Prabhava.,varsha; sharad,bhavaprakasha,Amradi Phala,43.0,usda,,,,,,,
Jambu (Jamun),jamun,fruit,ripe,astringent; sour; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-2,"The classical Prameha fruit — Jambu's Kapha-Meda reducing action is the one the texts single it out for, and the seed is used where the fruit is not.",grishma; varsha,bhavaprakasha,Amradi Phala,60.0,ifct2017,,,,,,,
Kadali (Banana),banana,fruit,ripe,sweet; astringent,guru; snigdha; picchila,cooling,sour,V-1 P+0 K+2,"Amla vipaka against a madhura-kashaya rasa — the classical exception for Kadali, and the reason banana with milk is named Viruddha.",grishma; sharad,bhavaprakasha,Amradi Phala,89.0,usda,,,,,,,
Kalinga (Watermelon),watermelon,fruit,ripe,sweet,guru; snigdha; drava,cooling,sweet,V+1 P-2 K+1,"Mutrala — the diuretic action is why Kalinga is given in Grishma and in urinary heat, and why it is not simply a heavy sweet fruit.",grishma,bhavaprakasha,Amradi Phala,30.0,usda,,,,,,,
Kharjura (Dates),dates,fruit,ripe,sweet,guru; snigdha; mridu,cooling,sweet,V-2 P-2 K+2,"Brimhana and Balya — Kharjura is the classical convalescent fruit, given to rebuild after depletion where its guru guna would otherwise argue against it.",shishira; hemanta,bhavaprakasha,Amradi Phala,277.0,usda,,,,,,,
Kiwi,kiwi,fruit,ripe,sweet; sour,laghu; snigdha,cooling,sour,V-1 P+0 K+0,,hemanta; shishira,modern_extrapolated,"No nighantu entry. Reasoned from the Amradi Phala Varga as a madhura-amla, laghu, shita fruit — nearest to Nagaranga in action, milder in its Kapha effect. Extrapolated, not cited.",61.0,usda,,,,,,,
Mosambi (Sweet Lime),mosambi_sweet_lime,fruit,ripe,sweet; sour,laghu; snigdha,cooling,sweet,V-1 P-1 K+1,,grishma; sharad,bhavaprakasha,Amradi Phala,43.0,authored_estimate,,,,,,,
Nagaranga (Orange),orange,fruit,ripe,sweet; sour,laghu; snigdha,cooling,sweet,V-1 P+0 K+1,,hemanta; shishira,bhavaprakasha,Amradi Phala,47.0,usda,,,,,,,
Narikela (Fresh Coconut),coconut,fruit,ripe,sweet,guru; snigdha,cooling,sweet,V-1 P-2 K+2,,grishma; sharad,bhavaprakasha,Amradi Phala,354.0,usda,,,,,,,
Nashpati (Pear),pear,fruit,ripe,sweet; astringent,guru; ruksha,cooling,sweet,V+1 P-1 K+0,,sharad; hemanta,bhavaprakasha,Amradi Phala,57.0,usda,,,,,,,
Perukam (Guava),guava,fruit,ripe,sweet; sour; astringent,guru; ruksha,cooling,sweet,V+1 P-1 K-1,,hemanta; shishira,bhavaprakasha,Amradi Phala,68.0,usda,,,,,,,
Pineapple,pineapple,fruit,ripe,sweet; sour,guru; tikshna,heating,sour,V-1 P+1 K-1,,grishma; varsha,modern_extrapolated,"No nighantu entry — a New World fruit. Reasoned as madhura-amla, tikshna and ushna; the pregnancy caution is the one folk and modern sources agree on and matches papaya's Bhedana action. Extrapolated, not cited.",50.0,usda,,,,,,,
"Seva (Apple, Raw)",apple,fruit,raw,sweet; astringent,guru; ruksha,cooling,sweet,V+1 P-1 K+0,,sharad; hemanta,bhavaprakasha,Amradi Phala,52.0,usda,,,,,,,
Strawberry,strawberry,fruit,ripe,sweet; sour,laghu; snigdha,cooling,sour,V-1 P-1 K+0,,vasanta; grishma,modern_extrapolated,"No nighantu entry. Reasoned from the Amradi Phala Varga as a light, madhura-amla, shita fruit. Extrapolated, not cited.",32.0,usda,,,,,,,
Bajra (Pearl Millet),millet_bajra,grain,cooked,sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+1 K-2,"Ushna virya and Pitta-vardhaka against a madhura-kashaya rasa that would pacify Pitta by rule — the classical caution on Bajra, and why it is a winter grain and not a summer one.",shishira; hemanta,bhavaprakasha,Kudhanya,119.0,usda,,,,,,,
Brown Rice,brown_rice,grain,cooked,sweet; astringent,guru; ruksha,cooling,sweet,V+1 P-1 K+0,,sharad; hemanta,bhavaprakasha,"Dhanya — Shali, unpolished",111.0,usda,,,,,,,
