condition,claim,food,food_id,prep_state,rasa,guna,virya,vipaka,dosha_effect,prabhava,classical_entry,screen_rule,screen_saw,claim_ok,should_be,vaidya_notes
acidity,apathya,Akshota (Walnuts),walnuts,raw,sweet; astringent,guru; snigdha,heating,sweet,V-2 P+1 K+1,,bhavaprakasha,,,,,
acidity,apathya,Amra (Mango),mango,ripe,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,"Ripe Amra is Vrishya and Balya, and ushna despite a purely madhura rasa — the reason it is a summer fruit that nonetheless aggravates Pitta in quantity.",bhavaprakasha,,,,,
acidity,apathya,Amra (Raw Mango),raw_mango,unripe,sour; astringent,laghu; ruksha,heating,sour,V+1 P+2 K-1,,bhavaprakasha,,,,,
acidity,apathya,Ardraka (Fresh Ginger),ginger,fresh,pungent,guru; snigdha; tikshna,heating,pungent,V-2 P+1 K-2,Ardraka is guru and snigdha with katu vipaka where dried Shunthi is laghu with madhura vipaka. Fresh and dry are two dravyas and the texts prescribe them differently — this row and `ginger_dry_saunth` are that distinction.,bhavaprakasha,,,,,
acidity,apathya,Atasi (Flax Seeds),flax_seeds,raw,sweet; astringent,guru; snigdha; picchila,heating,pungent,V-2 P+1 K+0,"Ushna virya and katu vipaka against a madhura-kashaya rasa — the classical caution on Atasi, and why it is a Vata-Kapha seed rather than a cooling one.",bhavaprakasha,,,,,
acidity,apathya,Badama (Almonds),almonds,raw,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,"Medhya, Balya and Vrishya — the actions that make Badama a Rasayana rather than a fat, and the reason it is soaked and peeled before use.",bhavaprakasha,,,,,
acidity,apathya,Bajra (Pearl Millet),millet_bajra,cooked,sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+1 K-2,"Ushna virya and Pitta-vardhaka against a madhura-kashaya rasa that would pacify Pitta by rule — the classical caution on Bajra, and why it is a winter grain and not a summer one.",bhavaprakasha,,,,,
acidity,apathya,Cashew Cream,cashew_cream,prepared,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,"Pitta-vardhaka despite madhura rasa — Kaju is ushna virya, the one sweet nut the texts warn against in Pitta, and blending it into a cream concentrates rather than tempers that.",no — extrapolated,,,,,
acidity,apathya,Chilgoza (Pine Nuts),pine_nuts,raw,sweet,guru; snigdha,heating,sweet,V-2 P+1 K+1,,bhavaprakasha,,,,,
acidity,apathya,Coconut Yogurt,coconut_yogurt,prepared,sweet; sour,guru; snigdha,heating,sour,V-1 P+1 K+1,,no — extrapolated,,,,,
acidity,apathya,Dadhi (Curd),curd_yogurt,prepared,sour; sweet,guru; snigdha; picchila,heating,sour,V-1 P+2 K+2,,bhavaprakasha,,,,,
acidity,apathya,Eranda-karkati (Papaya),papaya,ripe,sweet,guru; tikshna,heating,pungent,V-1 P+1 K-1,Deepana and Bhedana — the digestive and purgative action that makes papaya a medicine for a sluggish gut and a uterine stimulant in pregnancy. Both come from the same Prabhava.,bhavaprakasha,,,,,
