token,kind,interpreted_as,entries_affected,example_entries,interpretation_ok,should_be,vaidya_notes
active_eye_infection_conjunctivitis,red_flag,"shown to the user: Not for use with an active eye infection — red, sticky or discharging eyes need to be seen.",1,Eye Strain / Dry Eyes (Akshi Roga),,,
active_fever,derived,derived state: you are reporting fever,3,Balarishta; Intestinal Worms (Krimi Roga); Migraine,,,
active_fever_above_101,derived,derived state: you are reporting fever,1,Dry Cough (Shushka Kasa),,,
active_hormonal_treatment_consult_first,caution,shown to the user: Speak to your doctor first if you are on hormonal treatment.,1,PCOS Support (Artava Dushti),,,
active_infection,red_flag,shown to the user: Not while you have an active infection.,1,Low Immunity (Ojas),,,
active_infection_needs_antibiotics,red_flag,"shown to the user: Discharge with fever, pain or a foul odour suggests infection needing antibiotics — see a doctor.",1,Leucorrhoea / White Discharge (Shveta Pradara),,,
active_inflammation,caution,"shown to the user: Do not use over an actively inflamed, hot or swollen area.",2,Dhanwantharam Taila 101; Sahacharadi Taila,,,
active_open_wounds,red_flag,shown to the user: Do not apply to open wounds.,1,Nalpamaradi Taila,,,
active_pitta_disorders,derived,derived state: Pitta is currently aggravated,1,Saptavinshati Guggulu,,,
active_skin_infection,red_flag,shown to the user: Do not apply over an active skin infection.,1,Kumkumadi Taila,,,
active_suicidal_ideation_seek_emergency_care,red_flag,"shown to the user: If you are having thoughts of harming yourself, seek emergency care now. This is not something to treat at home.",1,Mild Depression / Low Mood (Vishada),,,
active_ulcer,condition,bars: peptic_ulcer,1,Hyperacidity (Amlapitta),,,
active_uterine_bleeding,condition,"bars: menorrhagia, uterine_fibroids, endometriosis",1,Sukumar Kashayam,,,
acute_asthma_attack_use_inhaler,red_flag,shown to the user: During an acute attack use your prescribed inhaler. These measures are for between attacks only.,1,Mild Asthma / Breathing Difficulty (Tamaka Shwasa),,,
acute_cold_flu,derived,derived state: you are reporting an acute cold,1,Anu Taila,,,
acute_fever,derived,derived state: you are reporting fever,1,Guggulutiktakam Kashayam,,,
after_meals,caution,shown to the user: Not to be used just after eating — Nasya is done on an empty stomach.,1,Anu Taila,,,
alcohol_dependence,caution,shown to the user: Asava/Arishta preparations contain naturally fermented alcohol — not suitable if you are recovering from alcohol dependence.,2,Arvindasava; Saraswatarishta,,,
alcohol_sensitivity,caution,shown to the user: Asava/Arishta preparations contain naturally fermented alcohol (5–10%).,2,Ashwagandharishta; Kanakasava,,,
alopecia_areata_autoimmune,condition,"bars: alopecia, lupus, hashimoto, vitiligo",1,Hair Fall (Khalitya / Indralupta),,,
ama,derived,derived state: Ama (metabolic toxins) present — nourishing tonics feed it,1,Narasimha Rasayana,,,
ama_condition,derived,derived state: Ama (metabolic toxins) present — nourishing tonics feed it,2,Bala Churna; Balarishta,,,
ama_condition_severe,derived,derived state: High Ama — clear it with Deepana-Pachana first,1,Indukantham Kashayam,,,
anaphylaxis_use_epipen_immediately,red_flag,"shown to the user: Hives with swelling of the lips or tongue, or any difficulty breathing, is anaphylaxis — use an adrenaline auto-injector and call emergency services.",1,Urticaria / Hives (Sheetapitta),,,
anemia,vocabulary,matched directly — the app records this condition under this name,1,Phalatrikadi Kashayam,,,
anticoagulant_therapy_high_doses,caution,shown to the user: At high doses this can add to the effect of blood-thinning medication. Keep to the stated dose if you take an anticoagulant.,1,Tulsi Churna,,,
authenticated_source_only,caution,"shown to the user: Use only an authenticated, properly processed (Shodhita) source. Mineral preparations from uncertified suppliers carry a real heavy-metal risk.",1,Abhraka Bhasma,,,
auto_immune_disease_on_immunosuppressants,condition,"bars: lupus, rheumatoid_arthritis, hashimoto, multiple_sclerosis, psoriasis, celiac, vitiligo, ulcerative_colitis, ibd_crohns, ankylosing_spondylitis, diabetes_type1",1,Giloy Satva,,,
autoimmune_disease,condition,"bars: lupus, rheumatoid_arthritis, hashimoto, multiple_sclerosis, psoriasis, celiac, vitiligo, ulcerative_colitis, ibd_crohns, ankylosing_spondylitis, diabetes_type1",5,Ashwagandha Churna; Ashwagandharishta; High Cholesterol Support (Medo Roga); Male Vitality / Reproductive Weakness (Vajikarana),,,
bile_duct_obstruction,red_flag,shown to the user: Not with a blocked bile duct — turmeric stimulates bile flow.,1,Haridra Churna,,,
bleeding_disorders,red_flag,shown to the user: Not with a bleeding disorder or while on anticoagulants.,2,Guggulutiktakam Kashayam; Vacha Churna,,,
bradycardia,red_flag,shown to the user: Not if your resting pulse runs slow — this preparation can slow it further.,4,Arjuna Churna; Brahmi Churna; Brahmi Vati; Parthadyarishta,,,
burns_on_face_or_genitals,red_flag,shown to the user: Burns on the face or genitals need medical care regardless of size.,1,Mild Burns / Sunburn (Dagdha Vrana),,,
cardiac_disorders,condition,"bars: heart_disease, heart_failure, atrial_fibrillation",2,Kanakasava; Shwas Kuthar Rasa,,,
cardiac_oedema,condition,"bars: heart_failure, heart_disease",1,Water Retention / Oedema (Shopha),,,
children,derived,derived state: under 12,8,Chandrakala Rasa; Chitraka Churna; Karela Churna; Laghu Sootashekara Rasa,,,
children_under_5,derived,derived state: under 5,1,Tagar Churna,,,
children_under_7_without_guidance,derived,derived state: under 7,1,Anu Taila,,,
children_without_supervision,derived,derived state: under 12,1,Kamadugdha Rasa,,,
chronic_cold_conditions,derived,derived state: you are reporting cold symptoms,1,Bhringaraja Churna,,,
colitis,condition,"bars: ulcerative_colitis, ibd_crohns",1,Maricha Churna,,,
constipation,vocabulary,matched directly — the app records this condition under this name,2,Kutajarishta; Pushyanuga Churna,,,
constipation_chronic,vocabulary,matched directly — the app records this condition under this name,2,Kutaj Churna; Loha Bhasma,,,
dandruff_with_weeping_lesions,red_flag,shown to the user: Weeping or crusted scalp lesions are not simple dandruff — have them seen.,1,Bhringaraja Taila,,,
deep_wounds_require_stitches,red_flag,shown to the user: A deep or gaping wound needs stitches — go to a clinic.,1,Minor Wound / Slow Healing Cuts (Vrana),,,
