condition,ayurvedic_name,kind,item,enforced_by_scan,modern_extrapolated,classical_ref,mechanism,item_ok,vaidya_notes
acidity,Amlapitta,pathya,coconut water (Narikela Jala),,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,pathya,pomegranate,,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,pathya,coriander seeds water,,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,pathya,amla,,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,pathya,fennel (Shatapushpa),,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,pathya,old rice,,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,pathya,ghee,,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,pathya,milk (warm),,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,sour foods,no,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,fermented foods,no,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,chilli,yes,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,garlic,no,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,onion,no,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,coffee,yes,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,alcohol,no,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
acidity,Amlapitta,apathya,eating before previous meal digests,no,,Charaka Chikitsa 15 (Amlapitta); Ashtanga Hridayam Chikitsa 10,Sour / pungent / fried aggravate Amlapitta.,,
amavata,Amavata (Rheumatoid Arthritis),pathya,ginger (Shunthi) — most important,,,Madhava Nidana 25 (Amavata Nidana); Yogaratnakara Amavata Chikitsa,Ama-forming and Srotas-blocking; curd is the first Apathya named.,,
