id,name,category,equipment,level,movement_pattern,movement_class,muscle_group,is_impact,contraindications,why,basis,what_a_rule_would_have_said,role,skill_floor,pregnancy_safe,dosha_vata,dosha_pitta,dosha_kapha,already_reviewed,safety_ok__Y_N,pregnancy_ok__Y_N,corrections
barbell_bench_press,Barbell Bench Press,strength,barbell,beginner,push_h,bench,chest,,"rotator_cuff, shoulder_injury","Supine, and the heaviest horizontal press available. Lying flat is avoided after the first trimester.",authored,"rotator_cuff, shoulder_injury",main,beginner,False,good,moderate,good,,,,
close_grip_bench_press,Close-Grip Bench Press,strength,barbell,intermediate,push_h,bench,triceps,,"elbow_injury, rotator_cuff, shoulder_injury",Supine press; the narrow grip concentrates load at the elbow.,authored,"rotator_cuff, shoulder_injury",main,intermediate,False,good,moderate,good,,,,
dumbbell_bench_press,Dumbbell Bench Press,strength,dumbbell,beginner,push_h,bench,chest,,"rotator_cuff, shoulder_injury",Supine. Dumbbells allow a deeper stretch at the bottom than a bar.,authored,"rotator_cuff, shoulder_injury",main,beginner,False,good,good,good,,,,
machine_bench_press,Machine Bench Press,strength,machine,beginner,push_h,bench,chest,,"rotator_cuff, shoulder_injury",Supine and fixed-path; the path is what a restricted shoulder cannot adjust.,authored,"rotator_cuff, shoulder_injury",main,beginner,False,good,good,good,,,,
standing_cable_wood_chop,Standing Cable Wood Chop,strength,cable,intermediate,rotation,cable_woodchop,core,,lower_back_pain,"Rotation under load, though driven from the hips rather than the lumbar spine.",authored,"herniated_disc, lower_back_pain",accessory,intermediate,False,good,good,good,,,,
calf_raises_with_bands,Calf Raises - With Bands,strength,bands,beginner,isolation,calf_raise,legs,,,Lightest ankle loading available.,authored,,accessory,beginner,True,good,good,moderate,,,,
seated_calf_raise,Seated Calf Raise,strength,machine,beginner,isolation,calf_raise,legs,,bad_ankle,Bent knee moves the work to the soleus; ankle range is the same.,authored,,accessory,beginner,True,good,good,moderate,,,,
standing_calf_raise,Standing Calf Raise,strength,bodyweight,beginner,isolation,calf_raise,legs,,bad_ankle,Full ankle range under bodyweight.,authored,,accessory,beginner,True,good,good,moderate,,,,
band_chest_press,Band Chest Press,strength,bands,beginner,push_h,chest_press,chest,,shoulder_injury,Upright and light. The mildest press in the library and the one a pregnant practitioner can keep.,authored,,main,beginner,True,good,good,good,,,,
chest_dip,Chest Dip,strength,bodyweight,intermediate,push_v,chest_press,chest,,"rotator_cuff, shoulder_injury, wrist_injury",Deep shoulder extension under bodyweight — the position most associated with anterior shoulder strain.,authored,"rotator_cuff, shoulder_injury, wrist_injury",accessory,intermediate,False,good,good,good,,,,
decline_push_up,Decline Push-Up,strength,bodyweight,intermediate,push_h,chest_press,chest,,"rotator_cuff, shoulder_injury, wrist_injury",Head-below-heart position with the shoulder near end range.,authored,wrist_injury,accessory,intermediate,False,good,good,good,,,,
incline_push_up,Incline Push-Up,strength,bodyweight,beginner,push_h,chest_press,chest,,wrist_injury,"The most prenatal-friendly press: upright, self-limiting, no supine position.",authored,wrist_injury,main,beginner,True,good,good,good,,,,
knee_push_up,Knee Push-Up,strength,bodyweight,beginner,push_h,chest_press,chest,,wrist_injury,"As the push-up, with less load through the wrist and shoulder.",authored,wrist_injury,main,beginner,True,good,good,good,,,,
push_up,Push-Up,strength,bodyweight,beginner,push_h,chest_press,chest,,wrist_injury,"Loaded wrist extension. Trunk stays off the floor, so it is workable in pregnancy for as long as the belly allows.",authored,wrist_injury,main,intermediate,True,good,good,good,,,,
ab_wheel_rollout,Ab Wheel Rollout,strength,other,advanced,anti_extension,core,core,,"herniated_disc, lower_back_pain, shoulder_injury","The longest anti-extension lever there is, with the shoulders holding the position.",authored,"herniated_disc, lower_back_pain",accessory,advanced,False,good,good,moderate,,,,
bird_dog,Bird Dog,strength,bodyweight,beginner,anti_rotation,core,core,,,"Quadruped, low load, spine neutral. Safe for essentially everyone, including prenatally.",authored,,accessory,beginner,True,good,good,moderate,,,,
cable_crunch,Cable Crunch,strength,cable,intermediate,isolation,core,core,,"herniated_disc, lower_back_pain",Weighted spinal flexion — the highest-load flexion movement in the library.,authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
cat_cow,Cat-Cow,stretching,bodyweight,beginner,rotation,core,core,,,Unloaded spinal movement through a self-selected range. Suitable prenatally.,authored,"herniated_disc, lower_back_pain",warmup,beginner,True,good,good,moderate,,,,
child_s_pose,Child's Pose,stretching,bodyweight,beginner,isolation,core,core,,bad_knee,Deep knee flexion in the kneeling position; the spine is unloaded.,authored,"herniated_disc, lower_back_pain",mobility,beginner,True,good,good,moderate,,,,
crunches,Crunches,strength,bodyweight,beginner,isolation,core,core,,"herniated_disc, lower_back_pain",Repeated loaded spinal flexion. Abdominal separation makes this unsuitable prenatally.,authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
dead_bug,Dead Bug,strength,bodyweight,beginner,anti_extension,core,core,,,"Supine. One of the better trunk drills for a sensitive back, since the range is set by the back staying flat.",authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
exercise_ball_crunch,Exercise Ball Crunch,strength,other,beginner,isolation,core,core,,"herniated_disc, lower_back_pain","As the crunch, through a longer range.",authored,"herniated_disc, lower_back_pain",accessory,beginner,False,good,good,moderate,,,,
exercise_ball_pull_in,Exercise Ball Pull-In,strength,other,intermediate,anti_extension,core,core,,"lower_back_pain, shoulder_injury",Plank on an unstable base; the shoulders support throughout.,authored,"herniated_disc, lower_back_pain",accessory,intermediate,False,good,good,moderate,,,,
