food,food_id,category,prep_state,stated_reasoning,rasa,guna,virya,vipaka,dosha_effect,pathya_for,apathya_for,gates_a_condition,analogy_ok,profile_ok,should_be,vaidya_notes
Almond Milk,almond_milk,vegan_protein,prepared,"No classical entry. Reasoned from Badama (Vatadi), diluted roughly ten to one — the madhura rasa and snigdha guna survive, the guru quality does not. Extrapolated, not cited.",sweet,laghu; snigdha,cooling,sweet,V-1 P-1 K+1,acidity,hypothyroid,yes,,,,
Black Beans,black_beans,legume,cooked,"No nighantu entry — a New World crop. Reasoned from the Shimbi Varga as guru, ruksha and Vata-vardhaka. Extrapolated, not cited.",sweet; astringent,guru; ruksha,cooling,pungent,V+2 P+0 K-1,diabetes; high_cholesterol,ibs; grahani; arsha,yes,,,,
Broccoli,broccoli,vegetable,cooked,"No nighantu entry. Reasoned from the Shaka Varga at its tikta-kashaya, laghu, ruksha end alongside the other crucifers; the goitrogen caution is modern. Extrapolated, not cited.",bitter; astringent,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,obesity; diabetes; high_cholesterol,hypothyroid; thyroid; ibs; grahani,yes,,,,
Cabbage,cabbage,vegetable,cooked,"No nighantu entry. Reasoned with the other crucifers; strongly Vata-vardhaka. Extrapolated, not cited.",astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,obesity; diabetes,hypothyroid; thyroid; ibs; grahani; amavata,yes,,,,
Cashew Cream,cashew_cream,vegan_protein,prepared,"No classical entry for the preparation. Reasoned from Kaju (Vatadi Varga) wet-ground — its ushna virya and Pitta action carry over undiluted. Extrapolated, not cited.",sweet,guru; snigdha,heating,sweet,V-2 P+1 K+2,,acidity; obesity; high_cholesterol; psoriasis,yes,,,,
Cauliflower,cauliflower,vegetable,cooked,"No nighantu entry. Reasoned with the other crucifers as laghu, ruksha and markedly Vata-vardhaka — the flatulence is what the classical Shaka cautions describe. Extrapolated, not cited.",astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,obesity; diabetes,hypothyroid; thyroid; ibs; grahani; amavata,yes,,,,
Chikoo (Sapota),chikoo_sapota,fruit,ripe,"No nighantu entry — sapota reaches India from the New World in the colonial period. Reasoned from the Amradi Phala Varga as a madhura, guru, shita fruit, nearest to Kharjura in guna. Extrapolated, not cited.",sweet,guru; snigdha,cooling,sweet,V-1 P-1 K+2,constipation; anemia,diabetes; obesity; hypothyroid,yes,,,,
Coconut Yogurt,coconut_yogurt,vegan_protein,prepared,"No classical entry. Reasoned as Narikela Ksheera taken through the fermentation Dadhi undergoes — amla rasa and amla vipaka arrive with the souring, and the Amavata bar arrives with them. Extrapolated, not cited.",sweet; sour,guru; snigdha,heating,sour,V-1 P+1 K+1,,amavata; psoriasis; acidity; obesity,yes,,,,
Cottage Cheese,cottage_cheese,dairy,prepared,"No classical entry. Reasoned from Kilata (curdled milk solids), with an amla anurasa the acid-set curdling adds and less guru than paneer for its lower fat. Extrapolated, not cited.",sweet; sour,guru; snigdha,cooling,sweet,V-1 P+0 K+2,,obesity; hypothyroid; asthma,yes,,,,
Edamame,edamame,legume,cooked,"No nighantu entry — the green soybean. Reasoned from the Shimbi Varga; lighter than the dried bean because it is eaten immature. Extrapolated, not cited.",sweet; astringent,guru; ruksha,cooling,pungent,V+1 P-1 K+0,,hypothyroid; thyroid; ibs,yes,,,,
Flax Milk,flax_milk,vegan_protein,prepared,"No classical entry. Reasoned from Atasi (Uma Varga), which is ushna virya and katu vipaka despite a madhura-kashaya rasa — the Pitta caution is Atasi's own and survives the dilution. Extrapolated, not cited.",sweet; astringent,guru; snigdha; picchila,heating,pungent,V-1 P+1 K+0,pcos; constipation; high_cholesterol,acidity; psoriasis,yes,,,,
French Beans,french_beans,vegetable,cooked,"No nighantu entry — a New World bean. Reasoned from the Shimbi Shaka as laghu, ruksha and Vata-vardhaka. Extrapolated, not cited.",sweet; astringent,laghu; ruksha,cooling,pungent,V+1 P-1 K-1,diabetes; obesity,ibs; grahani,yes,,,,
Green Tea,green_tea,beverage,prepared,"No classical entry for the prepared infusion. Reasoned from Kashaya Kalpana — a kashaya-tikta decoction, laghu and ruksha, Kapha-hara and Vata-vardhaka on repetition. Extrapolated, not cited.",astringent; bitter,laghu; ruksha,heating,pungent,V+1 P+0 K-2,obesity; high_cholesterol; fatty_liver,constipation; acidity; anemia,yes,,,,
Hemp Seeds,hemp_seeds,nut_seed,raw,"The plant is Vijaya in the nighantus but the hulled seed is a modern food and carries none of Vijaya's action. Reasoned from the Vatadi Varga as a guru, snigdha, ushna oilseed. Extrapolated, not cited.",sweet; astringent,guru; snigdha,heating,sweet,V-1 P+1 K+1,high_cholesterol; amavata,acidity,yes,,,,
Katuvira (Capsicum),capsicum_bell_pepper,vegetable,cooked,"No nighantu entry — Capsicum is a New World genus. Reasoned as a mild katu, laghu, ushna Shaka, far below Maricha in tikshna. Extrapolated, not cited.",pungent; sweet,laghu; ruksha,heating,pungent,V-1 P+1 K-1,obesity,acidity; psoriasis,yes,,,,
Kidney Beans,kidney_beans,legume,cooked,"No classical entry. Reasoned from the Shimbi Varga as a guru, ruksha, kashaya-madhura legume. Extrapolated, not cited.",sweet; astringent,guru; ruksha; sthira,cooling,pungent,V+2 P-1 K-1,,ibs; grahani; arsha; amavata,yes,,,,
Kiwi,kiwi,fruit,ripe,"No nighantu entry. Reasoned from the Amradi Phala Varga as a madhura-amla, laghu, shita fruit — nearest to Nagaranga in action, milder in its Kapha effect. Extrapolated, not cited.",sweet; sour,laghu; snigdha,cooling,sour,V-1 P+0 K+0,constipation; anemia,acidity,yes,,,,
Kuttu (Buckwheat),buckwheat,grain,cooked,"No nighantu entry; a Vrata food of later usage. Reasoned as a laghu, ruksha, ushna Kudhanya — its Pitta caution is the one folk practice and Unani sources agree on. Extrapolated, not cited.",sweet; astringent,laghu; ruksha,heating,pungent,V+1 P+1 K-1,diabetes; obesity,acidity; psoriasis,yes,,,,
Nutritional Yeast,nutritional_yeast,vegan_protein,prepared,"No classical entry. A dried fermented product with no dravya analogue; reasoned as kashaya-tikta, laghu and ruksha, Kapha-hara and Vata-vardhaka. The Amavata and psoriasis bars follow from its being fermented, which is Viruddha in Kushtha. Extrapolated, not cited.",astringent; bitter,laghu; ruksha,heating,pungent,V+1 P+0 K-2,anemia,migraine; psoriasis; amavata,yes,,,,
Oat Milk,oat_milk,vegan_protein,prepared,"No classical entry. Reasoned from Yava Varga — a madhura, picchila grain extract; unlike Yava itself it is not Kapha-hara, because the milling and straining leave the sweet starch and discard the ruksha bran. Extrapolated, not cited.",sweet,guru; snigdha; picchila,cooling,sweet,V-1 P-1 K+2,,diabetes; obesity,yes,,,,
Oats Porridge,oats,grain,cooked,"No classical entry. Reasoned from Yava Varga — but unlike Yava it is picchila and not Medohara, because the sliminess that makes oats cholesterol-lowering is the opposite of Yava's ruksha, sara quality. Extrapolated, not cited.",sweet; astringent,guru; picchila; snigdha,cooling,sweet,V-1 P-1 K+1,high_cholesterol; constipation; acidity,hypothyroid; ibs,yes,,,,
Olive Oil,olive_oil,oil,prepared,"No classical entry. Reasoned from Taila Varga as a madhura-kashaya sneha of shita virya — nearest to Narikela Taila in guna, milder in its Kapha effect. Extrapolated, not cited.",sweet; astringent,guru; snigdha,cooling,sweet,V-1 P-1 K+1,high_cholesterol; hypertension,obesity,yes,,,,
