condition,claim,food,food_id,prep_state,rasa,guna,virya,vipaka,dosha_effect,prabhava,classical_entry,screen_rule,screen_saw,claim_ok,should_be,vaidya_notes
grahani,pathya,Kadali Kanda (Raw Banana),raw_banana,unripe,astringent; sweet,guru; ruksha,cooling,pungent,V+2 P-1 K-1,,bhavaprakasha,indicated_in_grahani_but_ruksha_vata_raising,"ruksha and Vata-raising; defensible through Grahi action, but no Prabhava states it",,,
high_cholesterol,pathya,Akshota (Walnuts),walnuts,raw,sweet; astringent,guru; snigdha,heating,sweet,V-2 P+1 K+1,,bhavaprakasha,indicated_in_kapha_condition_but_kapha_building,"guru and Kapha-raising, with no Prabhava stating why it is given",,,
high_cholesterol,pathya,Hemp Seeds,hemp_seeds,raw,sweet; astringent,guru; snigdha,heating,sweet,V-1 P+1 K+1,,no — extrapolated,indicated_in_kapha_condition_but_kapha_building,"guru and Kapha-raising, with no Prabhava stating why it is given",,,
high_cholesterol,pathya,Oats Porridge,oats,cooked,sweet; astringent,guru; picchila; snigdha,cooling,sweet,V-1 P-1 K+1,,no — extrapolated,indicated_in_kapha_condition_but_kapha_building,"guru and Kapha-raising, with no Prabhava stating why it is given",,,
high_cholesterol,pathya,Olive Oil,olive_oil,prepared,sweet; astringent,guru; snigdha,cooling,sweet,V-1 P-1 K+1,,no — extrapolated,indicated_in_kapha_condition_but_kapha_building,"guru and Kapha-raising, with no Prabhava stating why it is given",,,
high_cholesterol,pathya,Sunflower Seeds,sunflower_seeds,raw,sweet,guru; snigdha,heating,sweet,V-1 P+1 K+1,,no — extrapolated,indicated_in_kapha_condition_but_kapha_building,"guru and Kapha-raising, with no Prabhava stating why it is given",,,
hypothyroid,apathya,Broccoli,broccoli,cooked,bitter; astringent,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,withheld_in_kapha_condition_but_kapha_reducing,"laghu and Kapha-reducing, so the classical profile does not explain the restriction",,,
hypothyroid,apathya,Cabbage,cabbage,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,withheld_in_kapha_condition_but_kapha_reducing,"laghu and Kapha-reducing, so the classical profile does not explain the restriction",,,
hypothyroid,apathya,Cauliflower,cauliflower,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,withheld_in_kapha_condition_but_kapha_reducing,"laghu and Kapha-reducing, so the classical profile does not explain the restriction",,,
thyroid,apathya,Broccoli,broccoli,cooked,bitter; astringent,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,withheld_in_kapha_condition_but_kapha_reducing,"laghu and Kapha-reducing, so the classical profile does not explain the restriction",,,
thyroid,apathya,Cabbage,cabbage,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,withheld_in_kapha_condition_but_kapha_reducing,"laghu and Kapha-reducing, so the classical profile does not explain the restriction",,,
thyroid,apathya,Cauliflower,cauliflower,cooked,astringent; sweet,laghu; ruksha,cooling,pungent,V+2 P-1 K-1,,no — extrapolated,withheld_in_kapha_condition_but_kapha_reducing,"laghu and Kapha-reducing, so the classical profile does not explain the restriction",,,
