scope,procedure,severity,condition,stated_mechanism,severity_ok,mechanism_ok,should_be,vaidya_notes
pradhana_karma,vamana,hard,abdominal_surgery_recent,Intra-abdominal pressure during retching disrupts fresh anastomoses and wound closure.,,,,
pradhana_karma,vamana,hard,anorexia,As Atidurbala — Vamana in a depleted patient causes Dhatu Kshaya.,,,,
pradhana_karma,vamana,hard,atidurbala,Extreme depletion — as underweight.,,,,
pradhana_karma,vamana,hard,atrial_fibrillation,Vagal surge during forceful emesis can provoke arrhythmia in an already unstable rhythm.,,,,
pradhana_karma,vamana,hard,bleeding_disorder,Raktapitta. Retching raises intrathoracic pressure and risks Mallory-Weiss tearing that will not clot.,,,,
pradhana_karma,vamana,hard,emaciation,Atidurbala — as underweight.,,,,
pradhana_karma,vamana,hard,epilepsy,The vomiting reflex and the associated Valsalva can precipitate a seizure; the KB lists active epilepsy as absolute.,,,,
pradhana_karma,vamana,hard,esophageal,"Oesophageal varices, strictures and motility disorders all tear or obstruct under forceful emesis.",,,,
pradhana_karma,vamana,hard,heart_disease,Same mechanism as severe cardiac disease; the KB lists severe cardiac disease as an absolute contraindication.,,,,
pradhana_karma,vamana,hard,heart_failure,Fluid shifts from 8 glasses of pre-emetic liquid followed by rapid loss can precipitate decompensation.,,,,
pradhana_karma,vamana,hard,hemophilia,As bleeding disorder — an oesophageal tear during emesis is uncontrollable.,,,,
pradhana_karma,vamana,hard,hiatal_hernia,Emesis against a herniated gastro-oesophageal junction risks strangulation and severe reflux injury.,,,,
pradhana_karma,vamana,hard,hypertension,"The KB lists severe hypertension as ABSOLUTE for Vamana, not relative. Each retch spikes systolic pressure; the engine previously treated this as a soft warning and proceeded.",,,,
pradhana_karma,vamana,hard,nursing,Emetic drugs and the fluid loss of Vamana both reach the infant through breast milk.,,,,
pradhana_karma,vamana,hard,peptic_ulcer,Gastric acid driven repeatedly across an ulcerated mucosa risks perforation and bleeding.,,,,
pradhana_karma,vamana,hard,pregnancy,Forceful emesis raises intra-abdominal pressure and risks placental abruption and preterm labour.,,,,
pradhana_karma,vamana,hard,severe_cardiac,Repeated Valsalva during emesis causes sharp swings in venous return and blood pressure that a failing heart cannot buffer.,,,,
pradhana_karma,vamana,hard,underweight,Atidurbala. Vamana costs Bala the emaciated patient does not have; the KB lists Atidurbala as absolute.,,,,
pradhana_karma,vamana,soft,anxiety,Vamana is a frightening procedure; the KB names severe psychological fragility as relative. Sattvavajaya preparation is required first.,,,,
pradhana_karma,vamana,soft,gerd,Reflux is aggravated for days afterwards; use the mildest Madanaphala dose and extend Samsarjana Krama.,,,,
pradhana_karma,vamana,soft,ptsd,Loss of bodily control during emesis is a common trigger. Prepare with Sattvavajaya and stop at the patient's word.,,,,
pradhana_karma,virechana,hard,anemia,Pandu. Purgation depletes further in a patient already short of Rakta Dhatu; carried over from the engine's original set.,,,,
pradhana_karma,virechana,hard,atidurbala,Extreme depletion — as underweight.,,,,
pradhana_karma,virechana,hard,bleeding_disorder,Raktapitta. Repeated purgation abrades the mucosa in a patient who cannot clot.,,,,
pradhana_karma,virechana,hard,diarrhea,The KB lists active diarrhoea or dysentery as ABSOLUTE and the engine had no term for it at all. Adding purgation to existing diarrhoea causes rapid dehydration and electrolyte collapse.,,,,
pradhana_karma,virechana,hard,diarrhoea,British spelling of the same finding.,,,,
pradhana_karma,virechana,hard,dysentery,As active diarrhoea — the Koshtha is already emptying; Virechana compounds it.,,,,
pradhana_karma,virechana,hard,emaciation,Atidurbala — as underweight.,,,,
pradhana_karma,virechana,hard,hepatitis_chronic,Damaged hepatocytes cannot handle Trivrit or Eranda; the KB restricts purgatives in liver disease.,,,,
pradhana_karma,virechana,hard,ibd_crohns,As ulcerative colitis — a purgative in active inflammatory bowel disease can perforate.,,,,
pradhana_karma,virechana,hard,liver_failure,"A failing liver cannot metabolise the purgative drug, and the fluid shift precipitates hepatic encephalopathy.",,,,
pradhana_karma,virechana,hard,nursing,Purgative drugs pass into breast milk and cause infant diarrhoea; maternal dehydration reduces supply.,,,,
pradhana_karma,virechana,hard,pregnancy,Purgation triggers uterine contraction via bowel stimulation and causes fluid and electrolyte loss the foetus cannot tolerate.,,,,
pradhana_karma,virechana,hard,rectal_bleeding,Purgation cannot be given while the source of bleeding is unidentified; it will worsen any of them.,,,,
pradhana_karma,virechana,hard,rectal_prolapse,Straining during purgation worsens prolapse directly.,,,,
pradhana_karma,virechana,hard,tb,Abbreviation for tuberculosis (Rajayakshma).,,,,
pradhana_karma,virechana,hard,tuberculosis,Rajayakshma. The KB lists it as absolute — Shodhana in a wasting disease accelerates Dhatu Kshaya.,,,,
pradhana_karma,virechana,hard,ulcerative_colitis,Purgatives on ulcerated colonic mucosa risk toxic megacolon and perforation.,,,,
pradhana_karma,virechana,hard,underweight,Atidurbala — the KB lists extreme emaciation as absolute for Virechana.,,,,
pradhana_karma,virechana,soft,chronic_kidney_disease,Fluid and electrolyte shifts are poorly tolerated; mild dose with close monitoring only.,,,,
pradhana_karma,virechana,soft,diabetes_type1,Fasting plus fluid loss destabilises glucose; monitor hourly and reduce insulin per the treating physician.,,,,
pradhana_karma,virechana,soft,elderly,"Reduced Bala and slower fluid compensation — mild dose, extended Samsarjana.",,,,
pradhana_karma,virechana,soft,fatty_liver,"As liver disease; mild Virechaka only, and monitor LFTs around the procedure.",,,,
pradhana_karma,virechana,soft,hemorrhoids,"The KB marks active haemorrhoids RELATIVE, not absolute. The engine treated it as hard and silently substituted Basti — which is the worse choice for haemorrhoids. Use mild Virechaka and Snehana support instead.",,,,
pradhana_karma,virechana,soft,hypertension,Avoid strong purgatives — the KB marks this relative. Volume loss plus antihypertensives risks hypotension.,,,,
pradhana_karma,virechana,soft,liver_disease,Use Triphala only — the mildest Virechaka. Avoid Trivrit and Eranda entirely.,,,,
pradhana_karma,basti,hard,active_fever,Jwara. `contraindication_matrix.acute_fever` blocks all Shodhana — Basti during fever drives the Dosha inward.,,,,
